date,generated_at,model_version,source,qqq_close,qqq_close_return,realized_vol_21,momentum_21,drawdown,volume_ratio_21,vix,vt10_exposure,learned_mean,learned_min,learned_max,tilt_multiplier,vt20_exposure,composite_exposure,stance,actor_state_sha256
2026-07-31,2026-08-01T21:14:33Z,ppo_v8_nocal_frozen_2023_v1,Yahoo Finance via yfinance,687.99,0.006496,0.23811,-0.051271,-0.076946,1.240422,15.99,0.41919,0.46111,0.2096,0.62879,1.1,0.83838,0.92222,Defensive,a4ee1755c85577dbb951de10105cfd223b2df9412bc4325699dae09cfdea31a7
2026-08-03,2026-08-04T12:08:16Z,ppo_v10_macro_frozen_2023_v1,Yahoo Finance via yfinance,700.07,0.017558,0.241111,-0.017583,-0.060738,1.109865,15.86,0.82772,0.80703,0.62079,1.24159,0.975,1.5,1.4625,Reduced risk,d02c1c2a80c3725ea033a4bb4e3c32b1ff862b23f462bdd6acfeb94edb55e550
2026-08-04,2026-08-04T23:37:43Z,ppo_v10_macro_frozen_2023_v1,Yahoo Finance via yfinance,723.85,0.033968,0.264247,0.001425,-0.028834,1.41271,16.5,0.75345,0.65927,0.37672,0.94181,0.875,1.5,1.3125,Reduced risk,e0d570ee13bf0e0c7e5b7babc58839a79b2eda72d99db53e1e0791e9f0a17d81
2026-08-05,2026-08-05T23:33:29Z,ppo_v10_macro_frozen_2023_v1,Yahoo Finance via yfinance,717.3,-0.009049,0.257663,0.011093,-0.037622,0.790364,15.81,0.77227,0.86881,0.77227,1.15841,1.125,1.5,1.5,Reduced risk,bfbb0c819b5ecdd2eb56460ebb3b62f6a10117b71df7253a1a6d5e064ab52f03
2026-08-06,2026-08-07T01:37:48Z,ppo_v10_macro_frozen_2023_v1,Yahoo Finance via yfinance,714.65,-0.003694,0.257921,0.004512,-0.041177,0.743329,15.15,0.7714,0.7714,0.3857,1.1571,1.0,1.5,1.5,Reduced risk,a8813060f88f0ef87c2b1aa2b9b9be927c9cd34c28413afd0fbc53bff114a779
