Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,35.835689544677734,6100,0.0,0.0,0.0
2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,36.279659271240234,29400,0.0,0.0,0.0
2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,36.48627471923828,25000,0.0,0.0,0.0
2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,36.85993957519531,52800,0.0,0.0,0.0
2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,37.022586822509766,61100,0.0,0.0,0.0
2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,36.70608139038086,64900,0.0,0.0,0.0
2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,36.79398727416992,40300,0.0,0.0,0.0
2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,36.79398727416992,40900,0.0,0.0,0.0
2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,37.31270980834961,35900,0.0,0.0,0.0
2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,37.541316986083984,32100,0.0,0.0,0.0
2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,38.00286102294922,75400,0.0,0.0,0.0
2002-08-14,87.45999908447266,87.9000015258789,86.75,86.77999877929688,38.14793395996094,130000,0.0,0.0,0.0
2002-08-15,86.37999725341797,86.5,85.8499984741211,86.0199966430664,37.8138313293457,87100,0.0,0.0,0.0
2002-08-16,86.44000244140625,86.5199966430664,84.81999969482422,85.05999755859375,37.39183807373047,85000,0.0,0.0,0.0
2002-08-19,85.05000305175781,85.33999633789062,84.70999908447266,85.31999969482422,37.506126403808594,47300,0.0,0.0,0.0
2002-08-20,85.62000274658203,86.29000091552734,85.5999984741211,86.2699966430664,37.92375564575195,40800,0.0,0.0,0.0
2002-08-21,85.68000030517578,86.0999984741211,85.62999725341797,85.80999755859375,37.721519470214844,40000,0.0,0.0,0.0
2002-08-22,85.55000305175781,85.55000305175781,85.05999755859375,85.05999755859375,37.39183807373047,34400,0.0,0.0,0.0
2002-08-23,85.19999694824219,85.94999694824219,85.19999694824219,85.9000015258789,37.76109313964844,20100,0.0,0.0,0.0
2002-08-26,85.69999694824219,86.20999908447266,85.66999816894531,85.9800033569336,37.7962646484375,23900,0.0,0.0,0.0
2002-08-27,85.4000015258789,85.68000030517578,85.19999694824219,85.44000244140625,37.55887985229492,301800,0.0,0.0,0.0
2002-08-28,86.04000091552734,86.18000030517578,85.83999633789062,85.87000274658203,37.74794387817383,18100,0.0,0.0,0.0
2002-08-29,86.76000213623047,86.86000061035156,86.3499984741211,86.55999755859375,38.05118942260742,135700,0.0,0.0,0.0
2002-08-30,86.75,87.12999725341797,86.44999694824219,87.08000183105469,38.279815673828125,78100,0.0,0.0,0.0
2002-09-03,87.08000183105469,88.04000091552734,87.0,88.04000091552734,38.868324279785156,102100,0.373,0.0,0.0
2002-09-04,88.02999877929688,88.30000305175781,87.83999633789062,88.0199966430664,38.85948181152344,66300,0.0,0.0,0.0
2002-09-05,88.56999969482422,88.6500015258789,87.37999725341797,88.5,39.07137680053711,648400,0.0,0.0,0.0
2002-09-06,87.97000122070312,88.19000244140625,87.19999694824219,87.45999908447266,38.61224365234375,140000,0.0,0.0,0.0
